name	nickname	categorization	alias	PrimeBloomPeriod	description	distributions	png
芹叶牡丹	芹叶牡丹、波斯毛茛、芹菜花、陆莲花	草本花卉	植物界 被子植物门 双子叶植物纲 毛莨目 毛茛科	春季	芹叶牡丹的叶子像芹菜一样，花像牡丹，故名 “ 芹叶牡丹 ”。为多年生宿根草本。株高20厘米～40厘米，块根纺锤形，常数个聚生于根颈部；茎单生，或少数分枝，有毛；基生叶阔卵形，具长柄，茎生叶无柄，为2回3出羽状复叶；花单生或数朵顶生，花径3厘米～4厘米；花期4月～5月。分布于亚洲和欧洲。		571161a240958_140_120.jpg
红姜花	红花月桃	一年生草本花卉	植物界 被子植物门 单子叶植物纲 芭蕉目 姜科 姜花属		红姜花（学名：Hedychium coccineum Buch.-Ham.），姜科，姜花属多年生草本植物，高可达2m。叶片狭线形，穗状花序多较稠密，圆柱形，花红色。蒴果开裂，种子红色。6-8月开花，10月结果。红姜花产中国西藏、云南南部、广西。生于林中， 山谷林下，山谷林缘路边阴湿灌丛，山坡林中，山坡密林中，杂木林中阴湿地。印度、斯里兰卡亦有分布。红姜花繁殖采用分株繁殖、种子繁殖或组织培养法。该种花极美丽、可栽培供观赏。	红姜花生于海拔：700-2900米（多生于海拔900-1400米）的常绿阔叶林中。喜暖湿，耐荫。红姜花分布于中国西藏（墨脱）、云南南部、广西自治区、贵州省；沿喜马拉雅诸国及斯里兰卡、缅甸、印度、越南也有分布。	557461fd04671_140_120.jpg
集圆	老十圆、十圆、十圆梅、畹香	兰科花卉	植物界 被子植物门 单子叶植物纲 微子目 兰科 兰属	春季	集圆又名老十圆，为春兰『四大天王』之一。清光绪年（公元1850年），一云流高僧掘得；到清咸丰二年（公元1852年），浙江余姚张圣林选肓。携带至许霁楼先生处命名“十圆”而得名。后杭州高骏甫先生亦出同形梅瓣物，称为“集圆” 。花型：梅瓣，外三瓣着根结圆，故名集圆。有时开梅型水仙，三瓣稍长圆。五瓣分窠，小刘海舌，花色微带黄绿色，肩平，瓣肉厚。花容端庄，硬挺，花期长。叶型：老叶成斜垂型，叶尖钝，叶脉较深，叶质厚，脚壳低，苞叶绿中带微红。叶长25-30厘米。集圆是栽培品种，具有较高的园艺价值。	集圆原产于中国浙江宁波、余姚、嘉兴。集圆为园艺品种，健壮，容易生花，繁殖快，故为春兰中流传最广泛品种。	55be25247ac71_140_120.jpg
红鬼笔	深红鬼笔	草本花卉	植物界 真菌门 腹菌纲 鬼笔目 鬼笔科 鬼笔属	不开花	红鬼笔，别名：深红鬼笔，拉丁文名：Phallus rubicundus (Bosc.) Fr.属鬼笔目真菌子实体，菌盖近钟形，具网纹格，多生长于腐殖质多的地方，据说可以食用，洗去菌盖粘物，煮熟后可以食用，咀嚼酥脆，香嫩，与竹荪有点相似，不可吃太多，会引起身体发热。	红鬼笔分布于我国的广东、广西、海南、云南、贵州、湖南、河南、湖北、香港、西藏、陕西、新疆、甘肃、河北、辽宁、黑龙江、江苏等地。	558d8c431e01f_140_120.jpg
百香果	西番莲果、热情果、西番果、巴西果、鸡蛋果	藤本花卉	植物界 被子植物门 双子叶植物纲 金虎尾目 西番莲科 西番莲属	春季夏季	百香果，俗称“巴西果”、“鸡蛋果”，原产于巴西，属西番莲科。因其果汁营养丰富，气味特别芳香，可散发出香蕉、菠萝、柠檬、草莓、番桃、石榴等多种水果的浓郁香味而被举为“百香果”，又有“百香果”“果汁之王”之美称，因其果汁也是其英文名“Passionfruit”的译音，在国外还有“果汁之王”、“摇钱树”等美称。百香果花期4-7月。	百香果是种爬藤植物，原产巴西，果实香酸而风味隽永。原产大小安的列斯群岛，广植于热带和亚热带地区。?百香果在国内主要栽培于广东、海南、福建、云南、台湾，有时逸生于海拔180-1900米的山谷丛林中。	5b98f659a3499_140_120.jpg
碧玉藤	翡翠葛、绿玉藤、圆萼藤	藤本花卉	植物界 被子植物门 双子叶植物纲 蔷薇目 豆科 绿玉藤属	冬季春季	碧玉藤是它常叫的名字，原名翡翠葛（Strongylodon macrobotrys A. Gray）。和禾雀花为同属植物。碧玉藤翡翠葛又名翡翠葛，原产于菲律宾的热带雨林，为蝶形花科黎豆属木质藤本植物，花色蓝绿，如翡翠一般，惹人喜爱。	碧玉藤原产生于菲律宾的热带雨林中。	58fe033b75ffa_140_120.jpg
网纹草	费道花、银网草	多年生草本花卉	植物界    爵床科 网纹草属	秋季	网纹草又名费通草、红网纹草，为爵床科网纹草属植物。网纹草叶片清新美观，特别适合盆栽观赏。网纹草姿态轻盈，植株小巧玲珑，在观叶植物中属小型盆栽植物。由于叶脉清晰，叶色淡雅，纹理匀称，深受人们喜爱，是目前在欧美十分流行的盆栽小品种。其实网纹草的历史不长，自20世纪40年代被发现以来，仅仅半个世纪。至今，在欧美窗台，阳台和居室中己十分常见，说明网纹草有着特殊的魅力。网纹草叶片清新美观，特别适合盆栽观赏。用它摆放宾馆、商厦、机场的休息室、橱窗、大厅，无论单放或成片摆设，都能起到较好的效果。盆栽或吊盆用于居室点缀，摆放书桌、茶几或窗台，翠绿清秀，轻快柔和，让人感到新鲜、舒畅。小叶网纹草在欧美还常用于制作瓶景或箱景观赏，也别具一格。	网纹草原产南美秘鲁。爵床科植物大部分生长在热带地区，主要是草本、灌木，也有一些藤本或多刺植物，只有少数种类可以生长在温带地区，分布最广的地区为南亚、中南半岛、非洲、巴西和中美洲，在各种生境中都有分布，例如密林中、开阔森林中、灌木丛中、湿地中、峡谷中、沼泽中、海岸边、沿海红树林中等都能找到它们的踪迹。温带最常见的是生长在欧洲南部的虾蟆花（也叫莨力花、叶蓟），高达2米，大叶。	551f64f976d4e_140_120.jpg
面包树	面包果、罗蜜树、马槟榔、面磅树	乔木花卉	植物界  被子植物门  双子叶植物纲  蔷薇目 桑科  桂木属		"常绿乔木，高10-15米；树皮灰褐色，粗厚。叶大，互生，厚革质，卵形至卵状椭 圆形，长10-50厘米，成熟之叶羽状分裂，两侧多为3-8羽状深裂，裂片披针形，先 端渐尖，两面无毛，表面深绿色，有光泽，背面浅绿色，全缘，侧脉约10对；叶柄长8- 12厘米；托叶大，披针形或宽披针形，长10-25厘米，黄绿色，被灰色或褐色平贴柔毛。 花序单生叶腋，雄花序长圆筒形至长椭圆形或棒状，长7-30（-40)厘米，黄色；雄花 花被管状，被毛，上部2裂，裂片披针形，雄蕊1枚，花药椭圆形，雌花花被管状，子 房卵圆形，花柱长，柱头2裂，聚花果倒卵圆形或近球形，长宽比值为1-4，长15-30 厘米，直径8-15厘米，绿色至黄色，表面具圆形瘤状凸起，成熟褐色至黑色，柔软，内 面为乳白色肉质花被组成；核果椭圆形至圆锥形，直径约25毫米。栽培的很少核果或无 核果。	又称罗蜜树、马槟榔、面磅树。原产于马来半岛以及波利尼西亚，如今因人类传播而分布玻里尼西亚，印度南部，加勒比地区等热带地区。果实可食用，风味类似面包，因此而得名。"		http://pic1.huashichang.com/2018/0831/10/5b88aa137143a_140_120.jpg
奇唇兰	金鱼兰、倒挂兰	多年生草本花卉	植物界 被子植物门 双子叶植物纲  兰科 奇唇兰属	秋季	奇唇兰别名金鱼兰、倒挂兰。兰科、奇唇兰属多年生草本植物。原产于秘鲁、墨西哥。我国福建、台湾、广东等省有栽培。奇唇兰原产于秘鲁、墨西哥。我国福建、台湾、广东等省有栽培。 多年生草本。假鳞茎卵形，集生于短匍匐茎上，老时有皱纹。叶革质，长椭圆状披针形，浓绿色。花大，鲜黄褐色带有红斑，有香味。奇唇兰花期8月。	奇唇兰原产于秘鲁、墨西哥。我国福建、台湾、广东等省有栽培。	54d1c61385e6d_140_120.jpg
绿萝	绿萝、魔鬼藤、黄金葛、黄金藤	藤本花卉	植物界 被子植物门 单子叶植物纲 泽泻目 天南星科 绿萝属	不开花	绿萝又名黄金葛、魔鬼藤、黄金藤等，天南星科藤芋属植物。原产热带雨林地区，为天南星科常绿藤本植物。绿色的叶片上有黄色的斑块，其缠绕性强，有气根，通常有悬垂的枝条，叶片呈心形，翠绿而光亮，夹杂有黄色斑块，清心悦目。绿萝具有很高的观赏价值，人们常将其做成绿萝柱、壁挂、悬吊、水插和装饰石山等。蔓茎自然下垂，既能净化空气，又能充分利用空间，为呆板的柜面增加活泼的线条、明快的色彩。被誉为“海陆空植物”。绿萝生长于热带地区常攀援生长在雨林的岩石和树干上，可长成巨大的藤本植物。其缠绕性强，气根发达。绿萝属于天南星科植物，可以水培种植。绿萝原产中美、南美的热带雨林地区。为天南星科常绿藤本植物。绿萝是天南星科喜林芋属植物，属于攀藤观叶花卉。性喜温暖、潮湿环境，藤长可达数米，节间有气根，叶片会越长越大，叶互生，常绿。绿萝具有很高观赏价值，既能净化空气，又能充分利用了空间。现国内各地上海、江苏、福建、台湾、广东、广西等地均有人工园林居室养植。绿萝通常都是盆栽养殖在室内，摆在书房、客厅、办公室这些地方，它能带来美好的视觉感和净化环境的作用，在大型藤本植物中，绿萝和吊兰、常春藤都一样，具有强大的净化空气的效果，绿萝因为能吸收空气中的苯、甲醛等，所以被广泛种植在室内，植物从户外搬迁到室内种植难度大，接下来了解一下绿萝的养殖方法和注意事项。绿萝是非常优良的室内装饰植物之一。萝茎细软，叶片娇秀。绿萝缠绕性强，气生根发达，既可让其攀附于用棕扎成的圆柱上，摆于门厅、宾馆，也可培养成悬垂状置于书房、窗台，摆放在家具的柜顶上，任其蔓茎从容下垂，或在蔓茎垂吊过长后圈吊成圆环，宛如翠色浮雕，绿萝是一种较适合室内摆放的花卉。	绿萝原产中美、南美的热带雨林地区。现国内各地上海、江苏、福建、台湾、广东、广西等地均有人工园林居室养植。绿萝又名黄金葛, 自古已在世界广有分布，包括南澳大利亚，马来西亚，印度支那，中国，日本，印度。现代已被引进到世界大部分的热带和亚热带森林。原产中美、南美的热带雨林地区。现国内各地上海、江苏、福建、台湾、广东、广西等地均有人工园林居室养植。	5b836adb0921b_140_120.jpg
水金英	水罂粟	草本花卉	植物界 被子植物门 单子叶植物纲  泽泻目 花蔺科 水罂粟属	夏季秋季	水金英（学名：Hydrocleys nymphoides）为花蔺科水罂粟属下的一个种，多年生浮叶草本。	水金英原产中美洲、南美洲。	570cff7b428fe_140_120.jpg
荆芥	香荆荠、线荠、四棱杆蒿、假苏	多年生草本花卉	植物界 被子植物门 双子叶植物纲 管状花目 唇形科 荆芥属	夏季秋季	荆芥别名：香荆荠、线荠、四棱杆蒿、假苏，是唇形科、荆芥属多年生植物。茎坚强，基部木质化，多分枝，高40-150厘米，基部近四棱形，上部钝四棱形，具浅槽，被白色短柔毛。入药用其干燥茎叶和花穗。鲜嫩芽小儿镇静最佳，荆芥叶黄绿色，茎方形微带紫色，横切面黄白色，穗子稍黑紫黄绿色。味平，性温，无毒，清香气浓。荆芥为发汗，解热药，是中华常用草药之一，能镇痰、祛风、凉血。治流行感冒，头疼寒热发汗，呕吐。	荆芥产新疆，甘肃，陕西，河南，山西，山东，湖北，贵州，四川及云南等地；自中南欧经阿富汗，向东一直分布到日本，在美洲及非洲南部逸为野生。荆芥的模式标本采自欧洲。人工栽培主产安徽、江苏、浙江、江西、湖北、河北等地。	595b9574078a4_140_120.jpg
白千层	脱皮树、千层皮、玉树、白千层、玉蝴蝶	乔木花卉	植物界 被子植物门 双子叶植物纲 桃金娘目 桃金娘科 白千层属	四季	白千层又叫玉树，桃金娘科，白千层属乔木，热带树种。树皮灰白色，厚而疏松，薄片状剥落。叶互生，全缘。穗状花序顶生，长6至12cm；花小白色，花后花序轴伸长，成为有叶的新枝，原产澳大利亚的澳洲起源中心植物。白千层树冠椭状圆锥形，树姿优美整齐，叶浓密，宜作观赏树和行道树。药材部位为桃金娘科植物白干层的树皮。	白千层原产澳大利亚，中国广东、台湾、福建、广西等地均有栽种，常植道旁作行道树，树皮易引起火灾，不宜于造林。	547dd04eeae63_140_120.jpg
藤三七	洋落葵、落葵薯、川七、疑洛葵、藤子三七	藤本花卉	植物界 被子植物门 双子叶植物纲 中央种子目 落葵科 落葵薯属	夏季秋季	藤三七是落葵薯（学名：Anredera cordifolia）别称，又称川七、藤子三七，小年药，土三七，藤七，马德拉藤，洋落葵，部分地区民间亦称其为“云南白药叶子”，但实际上云南白药里的三七并非本植物，而是五加科植物三七，相差甚远。藤三七为落葵科落葵薯属的植物，分布在南美热带地区以及中国大陆的云南、福建、浙江、四川、广东、江苏、北京等地，目前已由人工引种栽培。藤三七为多年生宿根稍带木质的缠绕藤本，光滑无毛。一年的新梢可长达4～5米以上，茎圆形，嫩茎绿色，老熟茎变成棕褐色，叶互生，肉质肥厚，叶片心脏形，光滑无毛，有短柄。在中国很多地区均有种植，尤其在南方地区种植较多。其栽培容易，病虫害发生少且营养高、口味好，含有丰富的Va和Vc。具有滋补壮腰膝、活血及消肿化淤的作用；味微苦，性温，有活血补血之功能，可用于补肾强腰，散瘀消肿。主治腰膝痹痛，病后体弱，跌打损伤，骨折。能够滋补、壮腰膝、消散痰、活血、健胃保肝，促进骨骼生长。藤三七的叶片、珠芽均可食用，具有全面的营养成分和特殊的功效成分。尤其是铁的含量较高，每100克叶片中含铁2毫克左右。	藤三七原产于巴西，在中国很多地区均有种植，尤其在南方地区种植较多。藤三七主要分布在我国的云南、四川及台湾等省。藤三七原多为野生，作为一种药用植物或野生蔬菜，在台湾和广东等省已有大面积栽培，并已作为蔬菜产品上市。	56323d5a48eef_140_120.jpg
黄歧花凤梨	齐美凤梨、美中星凤梨	凤梨科植物	植物界 被子植物门 百合纲 凤梨目 凤梨科 果子蔓属	夏季	黄歧花凤梨是一种不太常见的观赏凤梨，也有花友叫它齐美凤梨。黄歧花凤梨为凤梨科果子蔓属，别名齐美凤梨。黄歧花凤梨别称齐美凤梨，拉丁学名Guzmanin dissitiflora，凤梨科果子蔓属。黄歧花凤梨叶片线型反曲，长约30～70厘米，宽3～5厘米。淡绿色叶面上有细致的浅褐色带状斑纹，叶背有鳞片状斑点。穗状花序单生，长约50～90厘米，其上密生红色苞片，每四花成管状，自花梗上斜生，花瓣白色。黄歧花凤梨分布于哥伦比亚、巴拿马。黄歧花凤梨花期夏季。	黄歧花凤梨原产哥伦比亚、巴拿马。	56a0e2f9bccc2_140_120.jpg
两栖蓼	扁蓄蓼、醋柳、胡水蓼、湖蓼	多年生草本花卉	植物界 被子植物门 双子叶植物纲 蓼目 蓼科 蓼属	夏季	两栖蓼（拉丁名：Polygonum amphibium L.），是蓼科蓼属的一种多年生草本植物，根状茎横走。总状花序呈穗状，顶生或腋生。瘦果近圆形，双凸镜状，黑色，有光泽，包于宿存花被内。花期7~8月，果期8-9月。两栖蓼普遍分布于亚洲、欧洲和北美。两栖蓼生于湖泊边缘的浅水中、沟边及田边湿地，海拔50-3700米。两栖蓼的全草可用于痢疾和疔疮。此外，两栖蓼的叶大，花穗大，粉红色花序惹人喜爱，是园林水景颇佳的观赏植物。	两栖蓼产东北、华北、西北、华东、华中和西南。两栖蓼分布于亚洲、欧洲和北美。	56dc3b7c50b37_140_120.jpg
岩须	长梗岩须、雪灵芝、水麻黄、八股绳、草灵芝、灵芝草、水灵芝、铁刷把	灌木花卉	植物界 被子植物门 双子叶植物纲 杜鹃花目 杜鹃花科  岩须属	春季	岩须是常绿矮小半灌木，高5-25厘米；枝条多而密，外倾上升或铺散成垫状，密生交互对生的叶。叶硬革质，披针形至披针状长圆形。花单朵腋生；花萼5，绿色或紫红色，裂片卵状披针形或披针形；花冠乳白色，宽钟状。蒴果球形，花柱宿存。花期4-5月，果期6-7月。产四川西部、云南西北部、西藏东南部。生于海拔2000-4500米的灌丛中或垫状灌丛草地。该种全草可入药。	岩须产四川西部、云南西北部、西藏东南部。岩须锡金、不丹亦有分布。	590b3495368fc_140_120.jpg
竹节秋海棠	相思草、断肠花	多年生草本花卉	植物界 被子植物门 双子叶植物纲 侧膜胎座目 秋海棠科 秋海棠属	夏季秋季	竹节秋海棠多年生草本植物，直立或被散亚灌木，平滑无毛，具分枝，叶肉质厚，斜长圆形至长圆状卵形，顶端尖，边缘浅波状，叶柄肥厚紫红色，圆柱形，花聚散花序淡红色或白色，无香味；子房大而有翅。花期夏秋。	原产巴西。中国海口广州公园和花圃有栽培。中国广东、广西，有人工引种栽培。该花形，叶色柔媚。盆栽秋海棠常用来点缀客厅、橱窗或装点家庭窗台、阳台、茶几等地方。	5b8fc3f5e31a1_140_120.jpg
紫玄月	黄花新月、紫葡萄、玉翠楼、紫弦月、紫佛珠	多肉多浆植物	植物界 种子植物门 双子叶植物纲 钟花目（桔梗目） 菊科 厚敦菊属	春季	紫玄月又称紫弦月，中文正式名黄花新月，属于菊科厚敦菊属。多肉植物的吊兰品种之一，叶片非常奇特，日照充足的情况下茎部会从绿色变为紫红色。开黄色小花，搭配自身的紫红色非常漂亮。几乎没有休眠季节，但夏季高温时应少浇水，叶片起褶皱说明缺水，浇水后第二天叶片就会饱满起来。生根初期需求水分不大，根系生长健壮后会疯了一样呈爆发性生长。在各种垂吊型多肉植物中应该是生长速度最快的了。紫玄月适合以点缀方式加入组合盆栽，特别是露养于院子与露台的篮筐，铁艺篮子一类的花器。单独栽培也不错，生长速度超快，很快就会爆盆，日照充足的时候非常漂亮，全株会变成紫色，种植时尽量选择大一点的花器。	紫玄月分布于南非等地。	56deedc1a01f3_140_120.jpg
香榧	中国榧、榧树、玉榧、野杉子、香榧树	乔木花卉	植物界 裸子植物门 松杉纲 红豆杉目 红豆杉科 榧树属	春季	"香榧别名中国榧，为红豆杉目、红豆杉科、榧树属常绿乔木，中国原产树种，是世界上稀有的经济树种，主要生长在中国南方较为湿润的地区，生于海拔1400米以下，温暖多雨，黄壤、红壤、黄褐土地区，目前主要分布于中国安徽黟县、浙江诸暨、富阳等地。香榧高可达25m，是榧树中的一种，通常通过嫁接而来。香榧生长成熟期为三年：第一年开花，第二年结果，第三年成熟（不过一般一棵香榧树需要几百年才能开花）。花期4月中、下旬，果熟翌年9月，其果实一簇一簇地长在枝条上，素有""三代果""之称，一棵树上，往往一年果、两年果同时存在。香榧的果实为坚果，营养价值极高。干果称“香榧子”，为著名的干果，橄榄形，果壳较硬，内有黑色果衣包裹淡黄色果肉，可食用，营养丰富。在东亚国家榧木是被用来制作棋盘的高级木料。香榧树属红豆杉科，是中国特有的木本油料树种，其果为著名的干果。 香榧果炒熟后松脆可口，有特殊香味，深受人们欢迎。其种子胚乳含油率为40%，含蛋白质10%，碳水化合物28%。种仁油是良好的食用油料。香榧可供药用，有止咳、润肺、消痔、驱蛔虫等功效。香榧树皮含单宁3%～6%，可提制工业用栲胶。香榧果的假种皮可提炼香榧油。"	香榧为中国特有树种，产于江苏南部、浙江、福建北部、江西北部、安徽南部，西至湖南西南部及贵州松桃等地。生于海拔1400米以下，温暖多雨，黄壤、红壤、黄褐土地区。香榧树主要生长在我国长江以南的浙江、安徽、福建、江苏、贵州、湖南、江西等省，其中以浙江的枫桥香榧、安徽的太平香榧和江西的玉山香榧（果）等最负盛名。	54a808dddc019_140_120.jpg
临时救	聚花过路黄（拉汉种子植物名称）、黄花珠、九莲灯（湖南）、大疮药的、爬地黄（贵州）	草本花卉	植物界 被子植物门  双子叶植物纲 报春花目  报春花科  珍珠菜属	夏季	临时救（学名：Lysimachia congestiflora）为报春花科珍珠菜属的植物。分布在锡金、缅甸、不丹、台湾岛、越南以及中国大陆的甘肃、长江以南各省、陕西等地，生长于海拔300米至2,100米的地区，多生长在水沟边、山坡林缘、田塍上或草地等湿润处，目前尚未由人工引种栽培。临时救为多年生草本，全草入药，治风寒头痛、咽喉肿痛、肾炎水肿、肾结石、小儿疳积、疔疮、毒蛇咬伤等。浙江民间至今仍沿用。	临时救原产于我国长江以南各省区以及陕西、甘肃南部和台湾省。临时救分布于锡金、不丹、缅甸、越南。临时救模式标本采自湖北巴东。	55ba3b28b3fe0_140_120.jpg
金玉兰	黄兰、黄玉兰、黄缅桂	乔木花卉	植物界 被子植物门 双子叶植物纲 毛茛目 木兰科 含笑属	6～7月	"玉兰学名黄兰（Michelia champaca Linn.），又名黄玉兰和黄缅桂，木兰科含笑属常绿乔木，高达10余米，叶薄革质，披针状卵形或披针状长椭圆形，花黄色，极香，花被片15-20片，倒披针形，聚合果长7-15厘米，蓇葖倒卵状长圆形，种子2-4枚，有皱纹，花期6-7月，果期9-10月。	黄兰喜温暖、湿润，要求阳光充足，不耐干旱，忌过于潮湿，尤忌积水，宜排水良好、疏松肥沃的微酸性土壤。黄兰产于我国，印度、尼泊尔、缅甸、越南也有分布。黄兰花芳香浓郁，树形美丽，为著名的观赏树种，对有毒气体抗性较强；花可提取芳香油或薰茶，也可浸膏入药；叶可蒸油，供调制香料用；木材轻软，材质优良，为造船，家具的珍贵用材。"	产于西藏东南部、云南南部及西南部。福建、台湾、广东、海南、广西有栽培；长江流域各地盆栽，在温室越冬。印度、尼泊尔、缅甸、越南也有分布。	http://pic1.huashichang.com/2018/0819/12/5b78ec10a58a2_140_120.jpg
番荔枝	赖球果、佛头果、释迦果	乔木花卉	植物界 被子植物门 双子叶植物纲 毛茛目 番荔枝科 番荔枝属	夏季	番荔枝（学名：Annona squamosa Linn.）番荔枝科、番荔枝属落叶小乔木；树皮薄，灰白色，多分枝。叶薄纸质，椭圆状披针形，叶背苍白绿色；侧脉上面扁平，下面凸起。花单生或2-4朵聚生于枝顶或与叶对生，青黄色；花蕾披针形；萼片三角形，被微毛；外轮花瓣狭而厚，长圆形；雄蕊长圆形，药隔宽；心皮无毛，每心皮有胚珠1颗。果实由多数圆形或椭圆形的成熟心皮微相连易于分开而成的聚合浆果圆球状或心状圆锥形，无毛，黄绿色，外面被白色粉霜。花期5-6月，果期6-11月。番荔枝中国浙江、台湾、福建、广东、广西、海南和云南等省区均有栽培。原产热带美洲；现全球热带地区有栽培。果食用，外形酷似荔枝，故名“番荔枝”，为热带地区著名水果，含蛋白质2.34%，脂肪0.3%，糖类20.42%；种子含油量达20%。树皮纤维可造纸。根可药用，治急性赤痢、精神抑郁、脊髓骨病；果实可治恶疮肿痛，补脾。紫胶虫寄主树。	中国浙江、台湾、福建、广东、广西、海南和云南等省区均有栽培。原产热带美洲；全球热带地区有栽培。番荔枝广布于世界热带和亚热带地区，尤以东半球为多。我国产24属，103种，6变种，分布于浙江、江西、福建、台湾、湖南、广东、广西、云南、贵州和西藏。分布于西南部至台湾，大部产华南，少数分布于华东。	59d23e744770b_140_120.jpg
花叶竹芋	二色竹芋、花叶葛郁金	草本花卉	植物界 被子植物门 单子叶植物纲 芭蕉目 竹芋科 竹芋属	夏季秋季	花叶竹芋是竹芋科，竹芋属匍匐状分枝草本植物，植株矮小，高可达40厘米，叶片长圆形、椭圆形至卵形，基部圆或心形，边缘多少波浪形，叶面粉绿色，总状花序单生，苞片内有对花，花冠白色，裂片披针形，夏、秋开花。花叶竹芋原产南美巴西。在中国的南北地区均作盆栽观赏，北方地区常年在家庭室内盆栽。由于它很耐阴，甚适合家庭居室内装饰美化、绿化之用。可在较明亮的房间内长期摆放观赏，在光线较暗的房间内放置4-6周，对其生长也无太大的影响，所以可以长期在较暗的房间内摆放，亦能生长良好。	花叶竹芋原产南美巴西。花叶竹芋在中国的南北地区均作盆栽观赏，北方地区常年在家庭室内盆栽。	5971f7760b4fd_140_120.jpg
豹皮花	国章花、小犀角花、犀角、徽纹、徽纹掌、貂皮花	多肉多浆植物	植物界 被子植物门 双子叶植物纲 捩花目 萝藦科 豹皮花属	夏季秋季	豹皮花为多年生肉质草本植物。多茎丛生，高10厘米至20厘米。茎四棱柱形，顶部微曲，光滑无毛，棱脊上具粗短软刺，绿色，无叶。	豹皮花原产南非，分布于非洲以及中国大陆的华北等地，目前已由人工引种栽培。中国华北地区公园有种植。	5937e4830fde1_140_120.jpg
斑叶竹节秋海棠		草本花卉	植物界 被子植物门 双子叶植物纲 侧膜胎座目 秋海棠科 秋海棠属	夏季	斑叶竹节秋海棠（学名：Begonia maculata Raddi）秋海棠科，秋海棠属的多年生草本植物，茎直立，平滑，有分枝，高可达100厘米，叶质厚，斜长圆形至长圆状卵形，叶缘波状，下面红色，上面有圆白点，叶背面暗红色，花萼红色，花瓣粉红色或白色，花被片2大2小，雌花花被片等大，子房有翅。花期夏秋。斑叶竹节秋海棠原产巴西。分布于中国广东、广西，有人工引种栽培 。该花形，叶色柔媚。盆栽秋海棠常用来点缀客厅、橱窗或装点家庭窗台、阳台、茶几等地方。	斑叶竹节秋海棠原产巴西。	5b85566d702d0_140_120.png
牛角瓜	哮喘树、羊浸树、断肠草	灌木花卉	植物界 被子植物门 双子叶植物纲 捩花目 萝藦科 牛角瓜属	四季	牛角瓜的学名Calotropis gigantea (L.) Dry.ex Ait.f.，别名哮喘树、羊浸树、断肠草。直立灌木，高达3米，有毒。产于云南、四川、广西和广东等省区。有很高的经济和药用价值。	牛角瓜产于云南、四川、广西和广东等省区。牛角瓜分布于印度、斯里兰卡、缅甸、越南和马来西亚等。	596e076edfc5d_140_120.jpg
金苞花	艳苞花、花叶爵木、黄虾花、金苞虾衣花、小虾花、虾子花、珊瑚爵床、金包银、黄金宝塔、黄金宝塔花	灌木花卉	植物界 被子植物门 双子叶植物纲 唇形目 爵床科 金苞花属	四季	金苞花（学名：Pachystachys lutea），别名黄虾花、小虾花、虾子花、金苞虾衣花、珊瑚爵床、金包银，原产地为墨西哥、秘鲁及南美洲奎亚那，有二种品种，一种苞片为紫褐色，另一种苞片则为黄色。金苞花苞片为黄色者较为常见，花型分为上下两唇，外型酷似嘴唇。为爵床科常绿亚灌木，茎节膨大，叶对生，长椭圆形，有明显的叶脉，因其茎顶穗状花序的黄色．苞片层层叠叠，并伸出白色小花，形似虾体而得名。金苞花花期较长，从夏至冬，花串寿命长达数周。野生小虾花可长高至2至3尺，而一般家庭所栽种者高多不超过1尺。	"原产于美洲热带地区。中亚热带常绿、落叶阔叶林区(主要城市：武汉、沙市、黄石、宜昌、南昌、景德镇、九江、吉安、井冈山、赣州、上海、长沙、株洲、岳阳、怀化、吉首、常德、湘潭、衡阳、邵阳、桂林、温州、金华、宁波、重庆、成都、都江堰、绵阳、内江、乐山、自贡、攀枝花、贵阳、遵义、六盘水、安顺、昆明、大理)。	南亚热带常绿阔叶林区(主要城市：福州、厦门、泉州、漳州、广州、佛山、顺德、东莞、惠州、汕头、台北、柳州、桂平、个旧)。	热带季雨林及雨林区(主要城市：海口、三亚、琼海、高雄、台南、深圳、湛江、中山、珠海、澳门、香港、南宁、钦州北海、茂名、景洪)。"	http://pic1.huashichang.com/2016/0101/17/568648bf9cd21_140_120.jpg
雅乐之华		多肉多浆植物	植物界 被子植物门 双子叶植物纲 中央种子目 马齿苋科 马齿苋科		雅乐之华嫩叶为乳白色，多晒会呈现粉红。以园土为佳，可以泥炭为辅。乳黄色的嫩叶慢慢长大，会一点点变成绿色，而又嫩叶不断出现，故叶尖总有所谓“美艳的花朵”，具有良好的观赏价值。		554f3d62c7058_140_120.jpg
叉叶木	蜡烛树、十字架	乔木花卉	植物界 被子植物门 双子叶植物纲 玄参目 紫葳科 葫芦树属	夏季	叉叶木又叫十字架树，19世纪由天主教法国传教士传入中国。?叉叶木是紫葳科常绿小乔木，株高3-6m，株型美丽；叶簇生于小枝上，小叶3枚，三叉状生长，形状像十字架，也叫十字架树；花单朵聚生于树干上，近无柄，花冠佛焰苞状，具紫褐色斑纹，花期10-12月，观果期可长达数月，原产南美热带地区，我国广东、云南等省有栽培，是值得推广种植物的优良观果园林树种。	叉叶木原产南美热带地区，我国广东、云南等省有栽培。南亚热带常绿阔叶林区(主要城市：福州、厦门、泉州、漳州、广州、佛山、顺德 、东莞 、惠州、汕头、台北、柳州、桂平、个旧)热带季雨林及雨林区(主要城市：海口、三亚、琼海、高雄、台南、深圳、湛江、中山、珠海、澳门、香港、南宁、钦州 北海、茂名、景洪)。	58f22e8635d80_140_120.jpg
