name	nickname	categorization	alias	PrimeBloomPeriod	description	distributions	image
虎耳草	石荷叶、金线吊芙蓉、金丝荷叶、耳朵红、老虎草	宿根花卉	植物界 被子植物门 双子叶植物纲 虎耳草目 虎耳草科 虎耳草属	夏季秋季	虎耳草（学名：Saxifraga stolonifera Curt.）为虎耳草科植物。生于海拔400-4500米的林下、灌丛、草甸和荫湿岩隙。原产地为中国，朝鲜、日本也有分布。是一种蔓生植物，有瀑布状的纤匐枝，可广泛栽种作为观赏植物。含生物碱、硝酸钾、氯化钾、熊果酚苷（arbutin）。其叶绿体中所含之酚酶能将顺式咖啡酸，全草入药；微苦、辛，寒，有小毒；祛风清热，凉血解毒。	虎耳草科主要分布于北半球温带、寒带。	http://pic1.huashichang.com/2013/0831/22/522203a2af118_140_120.jpg
罂粟花	鸦片花、丽春花、舞草、百般娇、赛牡丹	二年生草本花卉	植物界 被子植物门 双子叶植物纲 毛茛目 罂粟科  罂粟属	夏季	罂粟（学名：Papaver somniferum）是罂粟科植物，是制取鸦片的主要原料，同时其提取物也是多种镇静剂的来源，如吗啡、蒂巴因、可待因、罂粟碱、那可丁。学名“somniferum”的意思是“催眠”，反映出其具有麻醉性。罂粟的种子罂粟籽是重要的食物产品，其中含有对健康有益的油脂，广泛应用于世界各地的沙拉中，而罂粟花绚烂华美，是一种很有价值的观赏植物。因罂粟拥有制作毒品的危险性，却又有制作药物及生产罂粟籽的价值，故在世界很多国家被规范化地种植。罂粟是罂粟科的二年生草本植物。全株粉绿色，叶长椭圆形，抱茎而生；夏季开花，单生枝头，大型而艳丽，有红、紫、白色，向上开放。花早落，结球形蒴果，内有细小而众多种子。罂粟花，原名英雄花．象征了十二星座中的天蝎座，原产小亚细亚、印度和伊朗。我国部分地区作为药用植物有少量栽培。罂粟是罂粟科的二年生草本植物。全株粉绿色，叶长椭圆形，抱茎而生；夏季开花，罂粟开的花朵大型而艳丽，有红色、紫色、白色，向上开放。花早落，结球形蒴果实，内有细小而众多种子。其含有吗啡、可卡因等物质，过量食用后易致瘾，但也是一种很有价值的观赏植物。罂粟花，又名鸦片花、大烟花、英雄花，花大艳丽，香气浓郁，是世界上最美丽的花之一。罂粟花来源于罂粟科植物罂粟，由于罂粟是制造毒品的原料，因此罂粟花往往也被视为邪恶之花，而在欧美地区，它又有着牺牲、爱、尊重和怀念的象征意义。	全世界最大的罂粟花产地为阿富汗，全球75%的毒品源自阿富汗地区的罂粟产地。阿富汗地区由于常年战乱以及土地贫瘠，只能靠种植罂粟花生产毒品维持国民经济。产地范围罂粟原产小亚细亚、印度和伊朗。我国部分地区药物种植场有少量栽培，多为药用。罂粟是罂粟科的二年生草本植物。全株粉绿色，叶长椭圆形，抱茎而生；夏季开花，单生枝头，大型而艳丽，有红、紫、白色，向上开放。花早落，结球形蒴果，内有细小而众多种子。	http://pic1.huashichang.com/2013/0901/15/5222f22b5d2d7_140_120.jpg
兜兰	拖鞋兰、绉枸兰	兰科花卉	植物界 被子植物门 单子叶植物纲 微子目 兰科 兜兰属	春季冬季	兜兰又称拖鞋兰。兰科多年生草本。多数为地生种，杂交品种较多。是栽培最普及的洋兰之一。主要分布亚洲热带和亚热带林下。喜温暖、湿润和半阴的环境。茎甚短；叶片带形或长圆状披针形，绿色或带有红褐色斑纹。花十分奇特，唇瓣呈口袋形；背萼极发达，有各种艳丽的花纹；两片侧萼合生在一起；花瓣较厚，花寿命长，有的可开放6周以上，并且四季都有开花的种类。	兜兰原产热带及亚热带地区的树林下，多数为地生种，少数为附生种，杂交 品种较多。主要分布在亚洲南部的印度、缅甸、印尼至几内亚等国的热带地区，以及我国的西南部。兜兰属全世界约有66种，我国兜兰属植物资源丰富，已知有18种，主要分布于西南和华南地区。	http://pic1.huashichang.com/2013/0903/15/52258bba7975d_140_120.jpg
蛇目菊	小波斯菊、金钱菊、孔雀菊	一年生草本花卉	植物界 被子植物门 双子叶植物纲 桔梗目 菊科 蛇目菊属	夏季	蛇目菊为菊科蛇目菊属的植物。一年生草本，高达50厘米，茎平卧或斜升多少被毛；叶菱状卵形或长圆状卵形，全缘，两面被疏贴短毛。头状花序单生于茎、枝顶端，；总苞片被毛，上部草质；雌花约10-12个，舌状，黄色或橙黄色；两性花暗紫色；托片长圆状披针形，麦秆黄色；雌花瘦果扁压，三棱形；两性花瘦果三棱形至扁，暗褐色，边缘有狭翅，外面有白色瘤状突起或无小瘤而成细纵肋。蛇目菊原产墨西哥，中国香港有栽培或逸为野生。	蛇目菊原产北美（美国：得克萨斯州；墨西哥： 奇瓦瓦州、科阿韦拉州、杜兰戈、新莱昂州、圣路易斯波托西、塔毛利帕斯州、萨卡特卡斯、阿瓜斯卡连特斯、恰帕斯、联邦区、瓜纳华托、格雷罗、伊达尔戈、哈利斯科、莫雷洛斯州、瓦哈卡、普埃布拉、克雷塔罗、特拉斯卡拉、韦拉克鲁斯、尤卡坦）、南美（哥斯达黎加、危地马拉），归化于美国加利福尼亚州。普遍栽培。原产美国申西部地区，我国部分地区广为栽培，广东沿海岛屿有分布，香港有栽培或逸为野生。	http://pic1.huashichang.com/2013/0903/22/5225f37832c8e_140_120.jpg
雨菊	白兰菊、铜钱花、异果菊、非洲金盏、绸缎花	一年生草本花卉	植物界 被子植物门 双子叶植物纲 菊目 菊科 异果菊属	秋季	雨菊原产南非，别名白兰菊、铜钱花、异果菊。一年生草花，叶互生披针形，头状花序顶开舌状花，橙黄色或白色，花瓣有光泽，似绸缎，结瘦果，果形有二种，故称异果菊。		http://pic1.huashichang.com/2013/0903/22/5225f92a337d1_140_120.jpg
绣线菊	蚂蝗梢、蜜酒草	一年生草本花卉	植物界 被子植物门 双子叶植物纲 蔷薇目 蔷薇科 绣线菊属	夏季	绣线菊又名马尿骚、蚂蝗草、蚂蝗梢等，属蔷薇目、蔷薇科直立灌木，高达2米。嫩枝被柔毛，老时脱落；冬芽有数枚褐色外露鳞片，疏被柔毛叶长圆状披针形或披针形，叶片长圆披针形至披针形，花序为长圆形或金字塔形的圆锥花序，花瓣粉红色，花期6-8月，果期8-9月。绣线菊在东亚、欧洲东南部均有分布。绣线菊子、叶、根都可作药用，有祛风清热、明目退翳的作用。绣线菊也是蜜源植物，可丰富人们的饮食生活。	绣线菊产黑龙江、吉林、辽宁、内蒙古、河北、山东、山西等地。生长于河流沿岸、湿草原、空旷地和山沟中，海拔200-900米。绣线菊在蒙古、日本、朝鲜、苏联西伯利亚以及欧洲东南部均有分布。	http://pic1.huashichang.com/2013/0904/15/5226ded89c57b_140_120.jpg
莲瓣兰	莲瓣、年拜兰、拜年花	兰科花卉	植物界 被子植物门 单子叶植物纲 微子目 兰科 兰属	春季	莲瓣兰是主产于云南省滇西北地区的一种地生兰，时逢每年的元旦春节盛开。这种兰花的花瓣呈椭条形，酷似盛开的莲藕花瓣，民间以花喻花，定名为“莲瓣兰”，深受国兰爱好者青睐。莲瓣兰作为国产兰属的重要一员，逐渐为国内兰界所熟知，还是近二十年来的事情。随着中国兰协成立后连续十余次全国兰博会的举办，云南兰友纷纷把从莲瓣兰中选育的优良品种亮相兰博会，每次都赢得组委会大奖和全国各地兰友的赞许，莲瓣兰的知名度与日俱增。特别是由于其植株形态、开花性状、生活习性、栽培方法等与四川习惯栽培的春剑较为相似，而受到四川兰友的格外青眯，莲瓣兰中许多优秀的品种被引种到四川，获得了极大的发展。同时也由于其枝叶秀美，株型适中，花色丰富，环境适应能力强，发芽率高，易开花等优良性状而越来越受到全国各地兰友的喜爱。	莲瓣兰是兰花大家族中一个重要的种类，云南[1]主要产莲瓣兰，其中又主要是大理、保山。云南是世界公认的植物王国，自然是兰花的王国。据植物学家考察论证的结果，中国有1200多种兰花，云南占去600多种。而这600多种兰花中有200多种为云南独产的品种。在云南独产的这200多种兰花中，异彩纷呈，万紫千红的兰花当推莲瓣兰。当今，在云南，莲瓣兰已经成了观赏价值高、经济价值俏，开发前景好的滇兰主体。维西县河谷独有的兰花生长在独有的环境中。云南分为滇南、滇东、滇东北、滇西、滇西北、滇中6个区块。滇西和滇莲瓣兰原产于滇西北三江流域，其核心分布区是大理、丽江、迪庆、怒江等地、州，向南沿澜沧江、怒江可分布到保山、临沧以及德宏的北部，向东沿金沙江可分布到楚雄、昆明、曲靖、昭通以及相邻的四川西昌、会理一带。因地理纬度和海拔高度的差异，分布于不同地域的莲瓣兰在植株高度、叶片宽度等方面也表现出明显的差异。西北的地貌构造十分特殊。这里，驰名中外的横断山脉由北向南纵列而下，从西部的缅甸孙布拉蚌到东部的中国永胜，其间有5条江河，奔腾千里，劈山而下，形成罕见的迈立开江、恩梅开江、怒江、澜沧江、金沙江山川区域。这个区域，北南走向的高黎贡山、碧罗雪山、白茫雪山、玉龙雪山、点苍山等山峰，高耸入云。山腰，林草幽幽，山顶，白雪皑皑，山脚，清流湍湍。这个区域，雪凝雪化，形成万千大大小小的河流，瀑飞涧涌，湖白山青，水雾升空，地表潮润，每座险峰深谷的东西两面坡，或晨阴晚阳，或晚阳晨阴。这种特殊的地理环境是兰花生长的天然场所。莲瓣兰生长在海拔1500～2500米河谷或半山背阴坡的松（杉）栎类混交林下，林下灌木及地被层不是十分茂密，每天有少许阳光可散落林间，林下腐质层松软，通风透气性能良好，空气清新而湿润，这些都为莲瓣兰的生长发育提供了良好的环境。由于山峰受阳的时间多少不等，温度的高低不等，森林植被的厚密不等，山谷潮润的程度不等，具体生长点的矿物质含量不等，等等因素，形成一山分四季，十分不同天的滇西地理气候环境特色，从而造化出色彩斑斓万紫千红、千姿百态、香型各异的众多莲瓣兰系列品种。如果用新、珍、奇、绝、艳、素、香7个字来认识组合莲瓣兰系列品种，莲瓣兰品系有100个之多。这在中国乃至世界的兰花属种中是绝无仅有的。栽培历史滇西大理一带已有悠久的栽培历史和广泛的群众栽培基础。	http://pic1.huashichang.com/2013/0904/15/5226e7aaaec0f_140_120.jpg
地毯草	大叶油草、草坪草	草坪与地被植物	植物界 被子植物门 单子叶植物纲 禾本目 禾本科 地毯草属	不开花	地毯草又名大叶油草，是禾本科地毯草属多年生草本植物。早期由南美洲引入我国南部地区栽培，目前已演变为乡土草种，生长于热带、亚热带地区较温暖的地方。在地下水位高的南方，许多小溪和小河沿岸地毯草都生长茂盛。地毯草喜欢湿润，但在沼泽地和大半年时间都渗水的土壤上却生长不良。该草还耐贫瘠，在沿着海岸边的贫瘠高地上遍布这种草。地毯草耐酸性特强，最适宜的pH值为4.5?5. 5 。地毯草由于耐酸性土壤和贫瘠的土壤环境，常作为斜坡或路边水土保持用草。早熟禾科(Poaceae)多年生丛生如地毯状的禾草。学名Axonopus affinis，原产于北美南部沙质地，在原产地及澳大利亚温暖地区偶尔种作草坪和牧草。压扁地毯草(A. compressus)与之近缘，叶较宽，原产于南非，英语亦称 carpet grass，也作为草坪草。	地毯草原产于美国南部，墨西哥及巴西。现广泛分布于世界热带和亚热带地区，特别是西非、南非、印度、菲律宾、印度尼西亚、澳大利亚以及太平洋群岛。我国海南省儋州、昌江。白沙、琼中、琼海、顿昌、澄迈、文昌、临高等地区常见，生于开阔草地、疏林下和路边，尤以橡胶林下成林缘最多。	http://pic1.huashichang.com/2013/0904/16/5226ee3b29fb5_140_120.jpg
细叶结缕草	台湾草、高丽芝草、天鹅绒草	草坪与地被植物	植物界 被子植物门 单子叶植物纲 禾本目 禾本科 结缕草属	秋季冬季	细叶结缕草为多年生草本。具匍匐茎。秆纤细，高5-10厘米。叶鞘无毛，紧密裹茎；叶舌膜质，鞘口具丝状长毛；小穗窄狭，黄绿色，或有时略带紫色，披针形；第一颖退化，第二颖革质，顶端及边缘膜质，具不明显的5脉；外稃与第二颖近等长，具1脉，内稃退化；无鳞被；花药长约0.8毫米，花柱2，柱头帚状。颖果与稃体分离。花果期8-12月。细叶结缕草形成的草坪低矮平整，茎叶纤细美观，又具一定的弹性，加上侵占力极强，易形成草皮，所以常栽种于花坛内作封闭式花坛草坪或作草坪造型供人观赏。因其耐践踏性强，故也可用作运动场、飞机场及各种娱乐场所的美化植物。	细叶结缕草产我国南部地区，其他地区亦有引种栽培。分布于热带亚洲，现欧美各国已普遍引种。是铺建草坪的优良禾草，又称天鹅绒草和台湾草，原产日本和朝鲜南部地区，现分布于亚热带及中国大陆南部地区。是质地优异，密度最大，生长最缓慢的结缕草种。	http://pic1.huashichang.com/2013/0904/17/5227023dc32a5_140_120.jpg
鹅莓	刺儿李、醋栗、灯笼果、狗葡萄、山麻子	灌木花卉	植物界 被子植物门 双子叶植物纲 虎耳草目 茶藨子科 醋栗属	夏季	鹅莓又称醋栗，北方俗称灯笼果，是茶藨子科醋栗属草本植物的一种。果实近圆形或椭圆形，成熟时果皮黄绿色，光亮而透明，几条纵行维管束清晰可见，花萼宿存，很像灯笼果，故名灯笼果。醋栗属醋栗科(Grossulariaceae)，醋栗属(Grossularia)。我国各地野生醋栗很多，栽培的种类和品种是从外国引入的。 鹅莓的英文名gooseberry；也可以直译为刺儿李。中文翻译过来叫醋栗。相对地挪威文中有一个更真实的名字，Stikkelsbær，刺莓，因为Gooseberry的果实都躲在茂密的绿叶底下，披着细毛，长在大量针刺的枝茎之间，采摘不易。鹅莓为虎耳草科醋栗属丛生小灌木，是喇叭沟门保护区内濒危物种。醋栗果实含有人体所需的18种氨基酸。	鹅莓原本发源于欧洲、北非和中东。现在主要分布于温润气候地区。主要分布于凉爽湿润气候，肥沃土壤环境。鹅莓是一种抗寒的小浆果，果实营养丰富，适于鲜食和加工，制成果酱果酒、罐头均别有风味。果实耐储运，故经济价值较高。中国醋栗栽培历史较短，20世纪初由俄国侨民引入，在黑龙江缤绥铁路沿线，如帽儿山、一面坡、石头河子、海林及牡丹江等地有较大面积栽培，仅黑龙江省发展面积就达26万亩。	http://pic1.huashichang.com/2013/0904/21/5227357127b7e_140_120.jpg
克鲁兹王莲	巴拉圭王莲、阿根廷王莲、小王莲、圣克鲁兹王莲	水生花卉	植物界 被子植物门 双子叶植物纲 睡莲目 睡莲科 王莲属	夏季	"科鲁兹王莲为多年生或一年生大型浮叶草本植物。其形态基本同亚马逊王莲，不同之处是，叶在整个生长期内保持绿色，叶直径大于亚马逊王莲，叶的叶缘上翘，直立的边缘比亚马逊王莲高近1倍，而花色也淡于亚马逊王莲。花、果期7~9月（在温室可延续至12月）。本种为著名的水生观赏花卉，被誉为""莲中之王""。"	科鲁兹王莲原产南美洲的巴拉圭及阿根廷，世界热带地区多有栽培。	http://pic1.huashichang.com/2013/0904/22/5227400364dc8_140_120.jpg
野牛草	水牛草	草坪与地被植物	植物界 被子植物门 单子叶植物纲 禾本目 禾本科 野牛草属	秋季	野牛草原产北美西部。株纤细，高5-25厘米。叶鞘疏生柔毛；叶舌短小，具细柔毛；叶片线形，粗糙，长3-10厘米，宽1-2毫米，两面疏生白柔毛。雄花序有2-3枚总状排列的穗状花序，长5-15毫米，宽约5毫米，草黄色；雌花序常呈头状，长6-9毫米，宽3-4毫米。多年生，高不到20公分。叶灰绿色，卷曲。匍匐茎广泛延伸，结成厚密的草皮。野牛草早期的移民用以构筑住所。野牛草是重要的全年生长的饲用植物，也应用于低养护的地方，如高速公路旁、机场跑道，高尔夫球场等次级高草区。	野牛草起源于美洲中南部， 20世纪40年代，野牛草作为水土保持植物引入中国，在甘肃地区首先试种，后在中国西北、华北及东北地区广泛种植。	http://pic1.huashichang.com/2013/0905/10/5227e9ee80fac_140_120.jpg
白车轴草	白三叶、白花三叶草、白三草、车轴草、荷兰翅摇、白花苜蓿、金花草、菽草翘摇	草坪与地被植物	植物界 被子植物门 双子叶植物纲 豆目 蝶形花科 三叶草属	春季	白车轴草又名白三叶、白花三叶草、白三草、车轴草、荷兰翘摇等，多年生草本；短期多年生草本，为栽培植物，有时逸生为杂草，侵入旱作物田，危害不重，对局部地区的蔬菜、幼林有危害。生长期达6年，高10-30厘米。白车轴草主根短，侧根和须根发达，茎匍匐蔓生，上部稍上升，节上生根，全株无毛。掌状三出复叶；托叶卵状披针形，膜质，基部抱茎成鞘状，离生部分锐尖。白车轴草的适应性广，抗热抗寒性强，可在酸性土壤中旺盛生长，也可在砂质土中生长，有一定的观赏价值，是世界各国主要栽培牧草之一，在中国主要用于草地建设，具有良好的生态和经济价值。	白车轴草原产欧洲，现广泛分布于温带及亚热带高海拔地区；江苏有栽培；东北、河北、华东及西南都有栽培。我过分布东北、河北、华东及西南。	http://pic1.huashichang.com/2013/0905/17/52285352c38b8_140_120.jpg
松叶菊	龙须海棠、姬松叶菊、松叶牡丹	多年生草本花卉	植物界 被子植物门 双子叶植物纲 石竹目 番杏科 松叶菊属	春季	松叶菊（学名：Lampranthus spectabilis）又名龙须海棠、姬松叶菊、松叶牡丹等，为番杏科中的一种多年生多肉植物，植株高约30厘米，茎细长，平卧或悬垂生长，基部稍呈木质化，分枝多而上升，呈红褐色叶肥厚多汁，肥厚多汁的叶子对生，呈松枝状，线形，蓝绿色，挺直象松叶。单花腋生，直径5厘米至7厘米，色彩丰富，有白、粉、红、黄和橙等多种颜色。形似菊花，花瓣窄条形，具光泽，4～5月开花。原产于南非，现为一种常见的观赏植物。	松叶菊原产非洲南部。在我国各地温室栽培。	http://pic1.huashichang.com/2013/0907/17/522af2c6b873a_140_120.jpg
 滨菊	法国菊、法兰西菊、牛眼菊	草本花卉	植物界 被子植物门 双子叶植物纲 菊目 菊科 滨菊属	春季夏季秋季	滨菊是菊科多年生草本，高15-80厘米。茎直立，通常不分枝，被绒毛或卷毛至无毛。基生叶花期生存，长椭圆形、倒披针形、倒卵形或卵形，基部楔形，渐狭成长柄，柄长于叶片自身，边缘圆或钝锯齿。全部叶两面无毛，腺点不明显。头状花序单生茎顶，有长花梗，或茎生2-5个头状花序，排成疏松伞房状。总苞径10-20毫米。全部苞片无毛，边缘白色或褐色膜质。瘦果长2-3毫米，无冠毛或舌状花瘦果有长达0.4毫米的侧缘冠齿。花果期5-10月。滨菊在公园栽培观赏。但河南、江西、甘肃有归化野生类型，生山坡草地或河边。欧洲、苏联、北美、日本等地，野生、引种栽培观赏或归化逸生等各种类型都有。	滨菊在河南、江西、甘肃有归化野生类型，生山坡草地或河边。滨菊在欧洲、苏联、北美、日本等地，野生、引种栽培观赏或归化逸生等各种类型都有。	http://pic1.huashichang.com/2013/0907/18/522afe3dad656_140_120.jpg
非洲菊	扶郎花、灯盏花、波斯花、千日菊、猩猩菊、日头花、太阳花	多年生草本花卉	植物界 被子植物门 双子叶植物纲 菊目 菊科 大丁草属	四季	非洲菊（英文名：Gerbera），属菊科多年生草本植物，全株具细毛，顶生花序，多数叶为基生，羽状浅裂。株高30～45cm，头状花序单生，顶生花序，花色分别有红色、白色、黄色、橙色、紫色等。高出叶面20～40cm，花径10～12cm，总苞盘状，钟形，舌状花瓣l～2或多轮呈重瓣状，通常四季有花，以春秋两季最盛。是现代切花中的重要材料。非洲菊花径较大（8厘米～10厘米），花期调控容易，现切花栽培面积逐年增多，应用日渐广泛。非洲菊还能耐长途运输，切花供养时间长；如栽培方法得当，每株一年可切取30枝切花，实为理想的切花花卉。非洲菊花朵硕大，花色丰富，管理省工，在温暖地区能常年供应鲜切花。主要类型可分现代切花型和矮生栽培型，有白、粉、红、黄等各种花色。	非洲菊原产地为南非，少数分布在亚洲。现在商业生产在台湾、广东也有。非洲菊随着国内温室技术的进步及国外新型温室技术的引进，华南、华东、华中地区皆有栽培。	http://pic1.huashichang.com/2013/0907/19/522b1052a7773_140_120.jpg
皇冠草	亚马逊剑草、王冠草、水草、热带水草之王	水生花卉	植物界 被子植物门 单子叶植物纲 泽泻目 泽泻科 刺果泽泻属	夏季秋季	水生植物，俗称水草，是植物大家族中的重要成员，它们与旱生植物一样，种类繁多、造型各异、精彩纷呈！皇冠草（Echinodorus amazonicus）就是它们中杰出代表。这是一种植株蓬大、阔叶形的热带水草，因其豪华艳丽，雄伟壮观，素有“热带水草之王”之美称。它广泛分 布于南美洲的巴西、阿根廷、乌拉圭等地。皇冠草属大型丛生型水草，其茎基粗壮，叶柄高，叶面宽阔，叶形优美，色泽清翠，在茎基部生长出10-20片宽大的叶片，排列呈莲花形最大的皇冠草可以长出近百片叶子，最大叶长可达半米。其花期很长，可以从5月一直持续到9月，单朵花的寿命却很短，日出时开放，至傍晚就凋谢了。但其花的姿态优雅，洁白的花瓣，淡黄色的花心，一尘不染、十分可人。在水边成片种植的时候，其花此起彼伏，极具观赏意义。	皇冠单广泛分 布于南美洲的巴西、阿根廷、乌拉圭等地。皇冠草属大型丛生型水草，其茎基粗壮，叶柄高，叶面宽阔，叶形优美，色泽清翠，在茎基部生长出10-20片宽大的叶片，排列呈莲花形最大的皇冠草可以长出近百片叶子，最大叶长可达半米。其花期很长，可以从5月一直持续到9月，单朵花的寿命却很短，日出时开放，至傍晚就凋谢了。但其花的姿态优雅，洁白的花瓣，淡黄色的花心，一尘不染、十分可人。在水边成片种植的时候，其花此起彼伏，极具观赏意义。	http://pic1.huashichang.com/2013/0909/17/522d94707fbd4_140_120.jpg
宝塔草	石龙尾、无柄花田香草、无柄田香、元宝草、九层草、西洋菊、水凤凰	水生花卉	植物界 被子植物门 木兰纲 玄参目 玄参科 石龙尾属	不开花	宝塔草为多年生水生草本植物。株高60～120厘米。叶轮生，淡绿色。这是一类有茎水草，茎较粗且长，圆柱形，绿色，叶7～13片轮生，羽状，长在7.5厘米以上。成长快速，适合在深水草箱中成群栽植。幼苗时叶轮便达15厘米，每根茎上有18～22片完全分离的叶子，有分层现象，叶脉无中心束。喜软水，不易成长。对铁肥需求明显，在光照充足的条件下叶子生长得茂盛且美丽。为多年生水生草本植物。 成长快速的高茎植物，适合群植于深水族箱。株高60～120厘米，水中草的叶片为羽状叶，从主干辐射而出，上小下大似宝塔形18-22枚轮生，叶色黄绿，以平面伸展的方式由茎向外扩散生长。喜欢软水，不易成长。对铁肥需求明显，足量光照下叶子变得茂盛美丽，不要时常剪枝。属大型水草种类，栽培并不困难。	宝塔草原产地：日本、印度尼西亚、中国等地地理分布：印度、巴基斯坦、印尼、日本、中国南部等地	http://pic1.huashichang.com/2013/0910/09/522e77fce41ec_140_120.jpg
蜂斗菜	冬花、款冬	多年生草本花卉	植物界 被子植物门 双子叶植物纲 桔梗目 菊科 蜂斗菜属	春季	蜂斗菜（学名：Petasites japonicus），别名冬花、款冬、款冬蒲公英、掌叶菜、老山芹、蛇头草，异名蛇头草、水钟流头（《江西草药》），黑南瓜、野饭瓜、南瓜三七、野南瓜、野金瓜头（《浙江民间常用草药》）。属于菊科蜂斗菜属，多年生草本植物。雌雄异株，花期约在1－3月。常见生长于山野路边，原产于河南、陕西、山西、甘肃以及日本等地。全株皆可入药，是中药里止咳化痰、润肺及促进食欲的药方之一。但与其他的菊科一样，蜂斗菜含有的吡咯里西啶生物碱会导致肝小静脉闭塞。中医学中把本植物与款冬花混淆，因此这两种植物有相同的别名。	蜂斗菜又称掌叶菜、老山芹、蛇头草，生长在向阳山坡林下，溪谷旁潮湿草丛中，多分布于我国浙江、江西、安徽、福建、四川、湖北、陕西等地。	http://pic1.huashichang.com/2013/0912/11/5231318ed7dcd_140_120.jpg
桫椤	台湾桫椤、蛇木、树蕨	蕨类植物	植物界 蕨类植物门 薄囊蕨纲 水龙骨目 桫椤科 桫椤属	不开花	桫椤又称“树蕨”是现存唯一的木本蕨类植物，极其珍贵，堪称国宝，被众多国家列为一级保护的濒危植物。隶属于较原始的维管束植物―蕨类植物门桫椤科。桫椤是古老蕨类家族的后裔，可制作成工艺品和中药，还是一种很好的庭园观赏树木。由于它是现今仅存的木本蕨类植物，极其珍贵，所以在国家重点保护野生植物名录(第一批)中,桫椤就被列为二级保护植物。从外观上看，桫椤有些像椰子树，其树干为圆柱形，直立而挺拔，树顶上丛生着许多大而长的羽状复叶，向四方飘垂，如果把它的叶片反转过来，背面可以看到许多星星点点的孢子囊群。孢子囊中长着许多孢子。桫椤是没有花的，当然也就不结果实，没有种子，它就是靠这些孢子来繁衍后代的。	桫椤为桫椤科大型蕨类植物，本科共有9属，约650种，中国有3属，20种，云南3属均产，现知9种。在云南西双版纳、德宏、文山、红河等地区的热带、亚热带密林中，树形蕨类有三四种。桫椤性喜温暖湿润的气候，常生长在林下或河边、溪谷两旁的阴湿之地。桫椤主要生长在热带和亚热带地区，东南亚和日本南部也有分布。湖南、江西、四川、台湾、西藏、云南、重庆、福建、广东、广西,贵州、海南、香港。产福建（福州、闽侯、福清、安溪、长泰、华安、南靖、平和、漳浦、永定）、台湾（台北、高雄、新竹、台中、南投、花莲、屏东）、广东（阳江，阳春，信宜、新兴、怀集、高州、连山、恩平、肇庆、英德、陆河、罗浮山）、海南（白沙、琼中、吊罗山）、香港、广西（百色、大苗山、梧州、武鸣、苍梧、容县、罗成、龙胜、浦北、德保、金秀）、贵州（赤水、习水、安龙、望漠、罗甸、贞丰、镇宁、册亨）、云南（贡山、福贡、广南、新平、盈江、沧源）、四川（泸州纳溪护国上马等、宜宾【翠屏区、高县、长宁、江安、屏山、筠连】、自贡、峨眉山、合江、乐山、邻水、雷波、、犍（读qián）为、雅安、容县）、重庆（北碚）、江西（崇义、大余）。生于山地溪傍或疏林中，海拔260～1600米。也分布于日本、越南、柬埔寨、泰国北部、缅甸、孟加拉国、锡金、不丹、尼泊尔和印度。模式标本采自尼泊尔。	http://pic1.huashichang.com/2013/0913/10/523277d339a01_140_120.jpg
小米草	心木涕区蒺(藏名)	一年生草本花卉	植物界 被子植物门 双子叶植物纲 管状花目 玄参科 小米草属	夏季秋季	小米草为一年生草本植物，全草具药用价值。植株直立，不分枝或下部分枝，被白色柔毛。叶与苞叶无柄，卵形至卵圆形。花序长3-15厘米，初花期短而花密集，逐渐伸长至果期果疏离；花冠白色或淡紫色，花药棕色。蒴果长矩圆状，种子白色。花期6-9月。分布于新疆、甘肃、宁夏、内蒙古、山西、河北。生阴坡草地及灌丛中。有小米草四川亚种及小米草高枝亚种两个变种，形态较为接近。小米草提取物为小米草的全草的地上部分，具有去眼袋、消疲劳的功效。	小米草分布于新疆、甘肃（西部）、宁夏、内蒙古、山西（太古以北）、河北（北部）。欧洲至蒙古，苏联西伯利亚地区也有。生阴坡草地及灌丛中。	http://pic1.huashichang.com/2013/0913/17/5232d81fe2779_140_120.jpg
晚香玉	月下香、小夜来香	多年生草本花卉	植物界 被子植物门 单子叶植物纲 天门冬目 龙舌兰科 晚香玉属	夏季	晚香玉（学名：Polianthes tuberosa），别名夜来香或月下香，是石蒜科（或龙舌兰科）晚香玉属的一种多年生球根开花植物。多年生草本，根状茎块状；线形叶子丛生，先端尖；花茎较长，上部呈总状花序，夏秋开白色花，有浓香味，晚上香味更浓。晚香玉花在晚上开花，在印度东部地区，被人们称作“Ratkirani”，意思就是“夜晚的女王”。露地栽植通常花期为7月上旬至11月上旬，而盛花期有8月-9月，为夏季切花种类。由于其浓香，花茎细长，线条柔和，栽植和花期调控容易，因而是非常重要的切花之一，是花束、插花等应用中的主要配花。由于其浓香，花茎细长，线条柔和，栽植和花期调控容易，因而是非常重要的切花之一，是花束、插花等应用中的主要配花。	原产地墨西哥及南美，我国很早就引进栽培，现各地均有栽培。适宜栽植在温暖、阳光充足的环境中，较耐寒。	http://pic1.huashichang.com/2013/0915/15/5235667194339_140_120.jpg
